date,close,open,high,low,rate
20240704,4.37 ,4.36 ,4.38 ,4.35 ,0.00 
20240703,4.36 ,4.43 ,4.45 ,4.34 ,(0.02)
20240702,4.44 ,4.46 ,4.47 ,4.41 ,(0.01)
20240701,4.47 ,4.41 ,4.49 ,4.39 ,0.02 
20240628,4.39 ,4.29 ,4.40 ,4.26 ,0.02 
20240627,4.29 ,4.33 ,4.35 ,4.28 ,(0.01)
20240626,4.33 ,4.24 ,4.33 ,4.24 ,0.02 
20240625,4.25 ,4.24 ,4.26 ,4.21 ,0.00 
20240624,4.23 ,4.26 ,4.28 ,4.23 ,(0.01)
20240621,4.26 ,4.27 ,4.28 ,4.22 ,(0.00)
20240620,4.26 ,4.23 ,4.29 ,4.23 ,0.01 
20240619,4.24 ,4.23 ,4.24 ,4.22 ,0.00 
20240618,4.22 ,4.28 ,4.30 ,4.21 ,(0.02)
20240617,4.29 ,4.24 ,4.29 ,4.23 ,0.02 
20240614,4.22 ,4.25 ,4.27 ,4.19 ,(0.01)
20240613,4.25 ,4.30 ,4.33 ,4.22 ,(0.02)
20240612,4.32 ,4.41 ,4.43 ,4.25 ,(0.02)
20240611,4.40 ,4.46 ,4.47 ,4.39 ,(0.02)
20240610,4.47 ,4.45 ,4.48 ,4.44 ,0.01 
20240607,4.43 ,4.29 ,4.44 ,4.29 ,0.03 
20240606,4.29 ,4.29 ,4.32 ,4.28 ,0.00 
20240605,4.28 ,4.33 ,4.36 ,4.28 ,(0.01)
20240604,4.33 ,4.40 ,4.41 ,4.31 ,(0.01)
20240603,4.39 ,4.49 ,4.50 ,4.39 ,(0.02)
20240531,4.50 ,4.54 ,4.57 ,4.49 ,(0.01)
20240530,4.55 ,4.62 ,4.63 ,4.54 ,(0.01)
20240529,4.62 ,4.55 ,4.64 ,4.54 ,0.01 
20240528,4.55 ,4.46 ,4.55 ,4.45 ,0.02 
20240527,4.46 ,4.45 ,4.47 ,4.45 ,(0.00)
20240524,4.47 ,4.48 ,4.50 ,4.46 ,(0.00)
20240523,4.48 ,4.43 ,4.50 ,4.41 ,0.01 
20240522,4.43 ,4.41 ,4.46 ,4.41 ,0.00 
20240521,4.41 ,4.45 ,4.45 ,4.40 ,(0.01)
20240520,4.45 ,4.41 ,4.46 ,4.41 ,0.01 
20240517,4.42 ,4.37 ,4.43 ,4.36 ,0.01 
20240516,4.38 ,4.34 ,4.39 ,4.31 ,0.01 
20240515,4.34 ,4.45 ,4.45 ,4.34 ,(0.02)
20240514,4.45 ,4.49 ,4.53 ,4.44 ,(0.01)
20240513,4.49 ,4.49 ,4.50 ,4.46 ,(0.00)
20240510,4.50 ,4.47 ,4.51 ,4.44 ,0.01 
20240509,4.46 ,4.49 ,4.52 ,4.45 ,(0.01)
20240508,4.50 ,4.46 ,4.50 ,4.45 ,0.01 
20240507,4.46 ,4.50 ,4.50 ,4.42 ,(0.01)
20240506,4.49 ,4.48 ,4.51 ,4.47 ,(0.00)
20240503,4.50 ,4.58 ,4.60 ,4.45 ,(0.02)
20240502,4.59 ,4.63 ,4.65 ,4.57 ,(0.01)
20240501,4.64 ,4.68 ,4.69 ,4.58 ,(0.01)
20240430,4.68 ,4.61 ,4.69 ,4.60 ,0.02 
20240429,4.61 ,4.66 ,4.66 ,4.61 ,(0.01)
20240426,4.66 ,4.71 ,4.72 ,4.64 ,(0.01)
20240425,4.70 ,4.65 ,4.74 ,4.62 ,0.01 
20240424,4.65 ,4.60 ,4.67 ,4.60 ,0.01 
20240423,4.61 ,4.61 ,4.65 ,4.57 ,(0.00)
20240422,4.61 ,4.63 ,4.67 ,4.61 ,(0.00)
20240419,4.62 ,4.63 ,4.64 ,4.50 ,(0.00)
20240418,4.64 ,4.59 ,4.65 ,4.56 ,0.01 
20240417,4.59 ,4.67 ,4.68 ,4.58 ,(0.02)
20240416,4.67 ,4.61 ,4.70 ,4.59 ,0.01 
20240415,4.61 ,4.53 ,4.66 ,4.52 ,0.02 
20240412,4.52 ,4.58 ,4.58 ,4.48 ,(0.01)
20240411,4.58 ,4.55 ,4.59 ,4.51 ,0.01 
20240410,4.55 ,4.37 ,4.57 ,4.34 ,0.04 
20240409,4.36 ,4.43 ,4.43 ,4.35 ,(0.01)
20240408,4.42 ,4.41 ,4.46 ,4.41 ,0.01 
20240405,4.40 ,4.31 ,4.41 ,4.31 ,0.02 
20240404,4.31 ,4.34 ,4.38 ,4.30 ,(0.01)
20240403,4.35 ,4.36 ,4.43 ,4.34 ,(0.00)
20240402,4.35 ,4.31 ,4.41 ,4.30 ,0.01 
20240401,4.32 ,4.19 ,4.34 ,4.19 ,0.03 
20240329,4.21 ,4.21 ,4.21 ,4.21 ,0.00 
20240328,4.21 ,4.21 ,4.24 ,4.18 ,0.00 
20240327,4.19 ,4.24 ,4.24 ,4.18 ,(0.01)
20240326,4.24 ,4.24 ,4.27 ,4.22 ,(0.00)
20240325,4.25 ,4.20 ,4.26 ,4.19 ,0.01 
20240322,4.20 ,4.27 ,4.27 ,4.20 ,(0.02)
20240321,4.27 ,4.27 ,4.29 ,4.22 ,(0.00)
20240320,4.28 ,4.29 ,4.32 ,4.23 ,(0.00)
20240319,4.29 ,4.33 ,4.34 ,4.29 ,(0.01)
20240318,4.33 ,4.31 ,4.35 ,4.29 ,0.00 
20240315,4.31 ,4.30 ,4.32 ,4.27 ,0.00 
20240314,4.29 ,4.19 ,4.30 ,4.19 ,0.02 
20240313,4.19 ,4.15 ,4.20 ,4.13 ,0.01 
20240312,4.15 ,4.09 ,4.17 ,4.08 ,0.01 
20240311,4.10 ,4.08 ,4.12 ,4.05 ,0.01 
20240308,4.08 ,4.09 ,4.13 ,4.04 ,(0.00)
20240307,4.09 ,4.10 ,4.13 ,4.05 ,(0.00)
20240306,4.11 ,4.16 ,4.17 ,4.08 ,(0.01)
20240305,4.15 ,4.22 ,4.22 ,4.11 ,(0.02)
20240304,4.22 ,4.19 ,4.24 ,4.19 ,0.01 
20240301,4.19 ,4.25 ,4.30 ,4.18 ,(0.02)
20240229,4.25 ,4.27 ,4.32 ,4.23 ,(0.00)
20240228,4.27 ,4.31 ,4.31 ,4.26 ,(0.01)
20240227,4.30 ,4.28 ,4.32 ,4.26 ,0.01 
20240226,4.28 ,4.26 ,4.31 ,4.22 ,0.01 
20240223,4.25 ,4.34 ,4.35 ,4.25 ,(0.02)
20240222,4.33 ,4.32 ,4.35 ,4.30 ,0.00 
20240221,4.32 ,4.28 ,4.33 ,4.25 ,0.01 
20240220,4.28 ,4.32 ,4.32 ,4.24 ,(0.01)
20240219,4.32 ,4.30 ,4.33 ,4.28 ,0.00 
20240218,4.30 ,4.29 ,4.30 ,4.29 ,0.00 
20240216,4.28 ,4.24 ,4.33 ,4.24 ,0.01 
20240215,4.23 ,4.26 ,4.26 ,4.19 ,(0.01)
20240214,4.26 ,4.33 ,4.33 ,4.25 ,(0.02)
20240213,4.33 ,4.18 ,4.33 ,4.15 ,0.04 
20240212,4.18 ,4.18 ,4.20 ,4.15 ,0.00 
20240209,4.18 ,4.15 ,4.20 ,4.13 ,0.00 
20240208,4.16 ,4.11 ,4.17 ,4.09 ,0.01 
20240207,4.12 ,4.10 ,4.14 ,4.07 ,0.01 
20240206,4.09 ,4.15 ,4.17 ,4.08 ,(0.02)
20240205,4.16 ,4.05 ,4.18 ,4.05 ,0.03 
20240202,4.02 ,3.88 ,4.05 ,3.87 ,0.04 
20240201,3.88 ,3.93 ,3.96 ,3.82 ,(0.01)
20240131,3.92 ,4.04 ,4.04 ,3.91 ,(0.03)
20240130,4.04 ,4.08 ,4.10 ,4.03 ,(0.01)
20240129,4.08 ,4.14 ,4.15 ,4.06 ,(0.02)
20240126,4.14 ,4.11 ,4.17 ,4.09 ,0.00 
20240125,4.12 ,4.18 ,4.20 ,4.12 ,(0.01)
20240124,4.18 ,4.13 ,4.19 ,4.09 ,0.01 
20240123,4.13 ,4.10 ,4.16 ,4.09 ,0.01 
20240122,4.11 ,4.14 ,4.14 ,4.08 ,(0.01)
20240119,4.13 ,4.15 ,4.20 ,4.12 ,(0.00)
20240118,4.14 ,4.10 ,4.15 ,4.07 ,0.01 
20240117,4.11 ,4.06 ,4.13 ,4.04 ,0.01 
20240116,4.05 ,3.99 ,4.08 ,3.98 ,0.02 
20240115,3.99 ,3.97 ,4.00 ,3.95 ,0.00 
20240114,3.97 ,3.96 ,3.97 ,3.96 ,0.01 
20240112,3.94 ,3.96 ,4.01 ,3.92 ,(0.01)
20240111,3.98 ,4.03 ,4.07 ,3.97 ,(0.01)
20240110,4.03 ,4.01 ,4.04 ,3.98 ,0.00 
20240109,4.02 ,4.02 ,4.05 ,4.00 ,(0.00)
20240108,4.03 ,4.06 ,4.07 ,3.97 ,(0.01)
20240105,4.05 ,4.00 ,4.10 ,3.95 ,0.01 
20240104,4.00 ,3.91 ,4.01 ,3.90 ,0.02 
20240103,3.92 ,3.95 ,4.01 ,3.89 ,(0.01)
20240102,3.94 ,3.90 ,4.02 ,3.88 ,0.01 
20240101,3.90 ,3.88 ,3.90 ,3.87 ,0.01 
20231229,3.87 ,3.84 ,3.90 ,3.83 ,0.01 
20231228,3.85 ,3.80 ,3.86 ,3.80 ,0.02 
20231227,3.79 ,3.90 ,3.90 ,3.78 ,(0.03)
20231226,3.90 ,3.90 ,3.91 ,3.88 ,(0.00)
20231225,3.90 ,3.91 ,3.91 ,3.90 ,0.00 
20231222,3.90 ,3.89 ,3.92 ,3.85 ,0.00 
20231221,3.89 ,3.86 ,3.91 ,3.83 ,0.01 
20231220,3.85 ,3.92 ,3.92 ,3.85 ,(0.02)
20231219,3.93 ,3.93 ,3.95 ,3.89 ,(0.00)
20231218,3.94 ,3.93 ,3.97 ,3.89 ,0.01 
20231215,3.92 ,3.93 ,3.97 ,3.89 ,(0.00)
20231214,3.92 ,4.02 ,4.02 ,3.89 ,(0.03)
20231213,4.02 ,4.20 ,4.21 ,4.01 ,(0.04)
20231212,4.21 ,4.24 ,4.25 ,4.15 ,(0.01)
20231211,4.24 ,4.24 ,4.30 ,4.23 ,0.00 
20231208,4.23 ,4.15 ,4.28 ,4.15 ,0.02 
20231207,4.15 ,4.11 ,4.19 ,4.10 ,0.01 
20231206,4.11 ,4.17 ,4.21 ,4.10 ,(0.01)
20231205,4.17 ,4.26 ,4.27 ,4.16 ,(0.02)
20231204,4.26 ,4.22 ,4.30 ,4.22 ,0.01 
20231201,4.21 ,4.32 ,4.35 ,4.20 ,(0.03)
20231130,4.33 ,4.27 ,4.37 ,4.25 ,0.02 
20231129,4.26 ,4.32 ,4.33 ,4.25 ,(0.02)
20231128,4.33 ,4.40 ,4.42 ,4.32 ,(0.02)
20231127,4.39 ,4.49 ,4.51 ,4.38 ,(0.02)
20231124,4.47 ,4.45 ,4.49 ,4.44 ,0.00 
20231123,4.45 ,4.41 ,4.46 ,4.39 ,0.01 
20231122,4.41 ,4.39 ,4.45 ,4.36 ,0.00 
20231121,4.40 ,4.41 ,4.44 ,4.38 ,(0.01)
20231120,4.43 ,4.46 ,4.49 ,4.41 ,(0.00)
20231117,4.44 ,4.44 ,4.47 ,4.38 ,(0.00)
20231116,4.44 ,4.52 ,4.53 ,4.43 ,(0.02)
20231115,4.54 ,4.45 ,4.56 ,4.43 ,0.02 
20231114,4.45 ,4.64 ,4.66 ,4.43 ,(0.04)
20231113,4.64 ,4.65 ,4.70 ,4.62 ,(0.00)
20231110,4.65 ,4.64 ,4.65 ,4.57 ,0.00 
20231109,4.63 ,4.48 ,4.65 ,4.47 ,0.03 
20231108,4.49 ,4.58 ,4.61 ,4.49 ,(0.02)
20231107,4.57 ,4.64 ,4.66 ,4.54 ,(0.02)
20231106,4.65 ,4.59 ,4.67 ,4.58 ,0.02 
20231103,4.58 ,4.66 ,4.68 ,4.48 ,(0.02)
20231102,4.66 ,4.72 ,4.75 ,4.63 ,(0.02)
20231101,4.73 ,4.93 ,4.94 ,4.73 ,(0.04)
20231031,4.93 ,4.89 ,4.93 ,4.80 ,0.01 
20231030,4.89 ,4.88 ,4.92 ,4.84 ,0.01 
20231027,4.85 ,4.85 ,4.89 ,4.83 ,(0.00)
20231026,4.85 ,4.95 ,4.99 ,4.84 ,(0.02)
20231025,4.96 ,4.82 ,4.97 ,4.81 ,0.03 
20231024,4.82 ,4.86 ,4.89 ,4.80 ,(0.01)
20231023,4.85 ,4.96 ,5.02 ,4.83 ,(0.01)
20231020,4.91 ,4.99 ,5.00 ,4.89 ,(0.02)
20231019,4.99 ,4.94 ,5.00 ,4.89 ,0.02 
20231018,4.91 ,4.84 ,4.93 ,4.81 ,0.02 
20231017,4.84 ,4.71 ,4.86 ,4.70 ,0.03 
20231016,4.70 ,4.65 ,4.73 ,4.64 ,0.02 
20231013,4.62 ,4.70 ,4.70 ,4.59 ,(0.02)
20231012,4.70 ,4.56 ,4.73 ,4.53 ,0.03 
20231011,4.56 ,4.66 ,4.66 ,4.54 ,(0.02)
20231010,4.66 ,4.63 ,4.72 ,4.62 ,0.01 
20231009,4.63 ,4.73 ,4.76 ,4.62 ,(0.02)
20231008,4.73 ,4.75 ,4.76 ,4.67 ,(0.01)
20231006,4.80 ,4.73 ,4.89 ,4.71 ,0.02 
20231005,4.72 ,4.73 ,4.78 ,4.70 ,(0.00)
20231004,4.74 ,4.80 ,4.88 ,4.72 ,(0.01)
20231003,4.80 ,4.68 ,4.81 ,4.66 ,0.02 
20231002,4.69 ,4.61 ,4.70 ,4.60 ,0.02 
20230929,4.58 ,4.58 ,4.60 ,4.51 ,0.00 
20230928,4.58 ,4.61 ,4.69 ,4.57 ,(0.01)
20230927,4.61 ,4.53 ,4.64 ,4.49 ,0.01 
20230926,4.55 ,4.55 ,4.57 ,4.48 ,0.00 
20230925,4.53 ,4.44 ,4.55 ,4.44 ,0.02 
20230922,4.44 ,4.49 ,4.51 ,4.42 ,(0.01)
20230921,4.49 ,4.41 ,4.50 ,4.41 ,0.02 
20230920,4.40 ,4.37 ,4.41 ,4.31 ,0.01 
20230919,4.37 ,4.31 ,4.37 ,4.30 ,0.01 
20230918,4.30 ,4.31 ,4.31 ,4.30 ,(0.01)
20230915,4.34 ,4.29 ,4.34 ,4.27 ,0.01 
20230914,4.29 ,4.25 ,4.30 ,4.22 ,0.01 
20230913,4.25 ,4.29 ,4.35 ,4.24 ,(0.01)
20230912,4.28 ,4.30 ,4.30 ,4.26 ,(0.00)
20230911,4.29 ,4.29 ,4.30 ,4.27 ,0.01 
20230908,4.26 ,4.25 ,4.27 ,4.21 ,0.00 
20230907,4.25 ,4.29 ,4.31 ,4.25 ,(0.01)
20230906,4.30 ,4.25 ,4.31 ,4.24 ,0.01 
20230905,4.27 ,4.21 ,4.27 ,4.20 ,0.01 
20230904,4.21 ,4.19 ,4.21 ,4.19 ,0.00 
20230903,4.19 ,4.19 ,4.20 ,4.19 ,0.00 
20230901,4.18 ,4.11 ,4.20 ,4.06 ,0.02 
20230831,4.11 ,4.11 ,4.12 ,4.08 ,(0.00)
20230830,4.11 ,4.14 ,4.16 ,4.09 ,(0.00)
20230829,4.12 ,4.19 ,4.24 ,4.11 ,(0.02)
20230828,4.21 ,4.25 ,4.26 ,4.19 ,(0.01)
20230825,4.23 ,4.23 ,4.29 ,4.20 ,(0.00)
20230824,4.24 ,4.19 ,4.24 ,4.17 ,0.01 
20230823,4.20 ,4.32 ,4.32 ,4.18 ,(0.03)
20230822,4.33 ,4.35 ,4.37 ,4.31 ,(0.00)
20230821,4.34 ,4.26 ,4.35 ,4.26 ,0.02 
20230818,4.25 ,4.27 ,4.28 ,4.22 ,(0.01)
20230817,4.28 ,4.25 ,4.33 ,4.25 ,0.01 
20230816,4.26 ,4.21 ,4.28 ,4.17 ,0.01 
20230815,4.22 ,4.20 ,4.27 ,4.17 ,0.00 
20230814,4.20 ,4.17 ,4.22 ,4.15 ,0.01 
20230811,4.16 ,4.12 ,4.18 ,4.08 ,0.01 
20230810,4.11 ,4.01 ,4.11 ,3.96 ,0.02 
20230809,4.02 ,4.01 ,4.04 ,3.99 ,(0.00)
20230808,4.03 ,4.09 ,4.09 ,3.98 ,(0.02)
20230807,4.10 ,4.05 ,4.12 ,4.05 ,0.01 
20230804,4.04 ,4.18 ,4.21 ,4.04 ,(0.03)
20230803,4.18 ,4.09 ,4.20 ,4.08 ,0.02 
20230802,4.09 ,4.01 ,4.13 ,4.01 ,0.01 
20230801,4.04 ,3.97 ,4.06 ,3.95 ,0.02 
20230731,3.97 ,3.96 ,4.00 ,3.93 ,0.00 
20230728,3.96 ,4.01 ,4.04 ,3.94 ,(0.01)
20230727,4.00 ,3.88 ,4.02 ,3.84 ,0.03 
20230726,3.87 ,3.90 ,3.90 ,3.85 ,(0.00)
20230725,3.89 ,3.88 ,3.92 ,3.86 ,0.00 
20230724,3.88 ,3.85 ,3.88 ,3.79 ,0.01 
20230721,3.84 ,3.85 ,3.86 ,3.81 ,(0.01)
20230720,3.86 ,3.75 ,3.87 ,3.75 ,0.03 
20230719,3.75 ,3.79 ,3.80 ,3.73 ,(0.01)
20230718,3.79 ,3.81 ,3.81 ,3.73 ,(0.01)
20230717,3.81 ,3.82 ,3.84 ,3.77 ,(0.01)
20230714,3.83 ,3.78 ,3.84 ,3.76 ,0.02 
20230713,3.77 ,3.86 ,3.87 ,3.76 ,(0.02)
20230712,3.86 ,3.96 ,3.97 ,3.84 ,(0.03)
20230711,3.98 ,4.00 ,4.01 ,3.95 ,(0.01)
20230710,4.00 ,4.06 ,4.09 ,3.99 ,(0.02)
20230707,4.07 ,4.03 ,4.09 ,4.01 ,0.01 
20230706,4.03 ,3.94 ,4.08 ,3.93 ,0.02 
20230705,3.93 ,3.84 ,3.95 ,3.83 ,0.02 
20230704,3.84 ,3.85 ,3.88 ,3.84 ,(0.01)
20230703,3.86 ,3.85 ,3.87 ,3.78 ,0.00 
20230630,3.84 ,3.84 ,3.89 ,3.80 ,(0.00)
20230629,3.84 ,3.71 ,3.87 ,3.71 ,0.03 
20230628,3.71 ,3.76 ,3.77 ,3.70 ,(0.02)
20230627,3.77 ,3.72 ,3.78 ,3.69 ,0.01 
20230626,3.72 ,3.72 ,3.74 ,3.68 ,(0.00)
20230623,3.74 ,3.79 ,3.80 ,3.69 ,(0.02)
20230622,3.80 ,3.73 ,3.81 ,3.71 ,0.02 
20230621,3.73 ,3.73 ,3.79 ,3.71 ,0.00 
20230620,3.72 ,3.82 ,3.83 ,3.70 ,(0.03)
20230619,3.82 ,3.76 ,3.83 ,3.75 ,0.01 
20230616,3.77 ,3.72 ,3.81 ,3.72 ,0.01 
20230615,3.72 ,3.79 ,3.85 ,3.71 ,(0.02)
20230614,3.79 ,3.82 ,3.85 ,3.77 ,(0.01)
20230613,3.83 ,3.74 ,3.85 ,3.68 ,0.02 
20230612,3.74 ,3.75 ,3.79 ,3.71 ,0.00 
20230609,3.74 ,3.72 ,3.78 ,3.72 ,0.01 
20230608,3.72 ,3.79 ,3.82 ,3.71 ,(0.02)
20230607,3.79 ,3.67 ,3.80 ,3.66 ,0.03 
20230606,3.68 ,3.69 ,3.74 ,3.65 ,(0.00)
20230605,3.69 ,3.71 ,3.76 ,3.66 ,(0.00)
20230602,3.70 ,3.61 ,3.70 ,3.60 ,0.03 
20230601,3.60 ,3.64 ,3.69 ,3.57 ,(0.01)
20230531,3.65 ,3.69 ,3.69 ,3.61 ,(0.01)
20230530,3.69 ,3.77 ,3.77 ,3.68 ,(0.02)
20230529,3.76 ,3.82 ,3.83 ,3.76 ,(0.01)
20230528,3.82 ,3.82 ,3.85 ,3.81 ,0.00 
20230526,3.81 ,3.82 ,3.86 ,3.78 ,(0.00)
20230525,3.82 ,3.74 ,3.83 ,3.73 ,0.02 
20230524,3.74 ,3.70 ,3.75 ,3.67 ,0.01 
20230523,3.70 ,3.72 ,3.76 ,3.69 ,(0.01)
20230522,3.72 ,3.67 ,3.73 ,3.64 ,0.01 
20230519,3.68 ,3.65 ,3.72 ,3.62 ,0.01 
20230518,3.65 ,3.56 ,3.66 ,3.55 ,0.02 
20230517,3.57 ,3.55 ,3.59 ,3.52 ,0.01 
20230516,3.54 ,3.51 ,3.57 ,3.46 ,0.01 
20230515,3.51 ,3.46 ,3.51 ,3.46 ,0.01 
20230512,3.46 ,3.38 ,3.47 ,3.37 ,0.02 
20230511,3.39 ,3.44 ,3.44 ,3.35 ,(0.02)
20230510,3.44 ,3.52 ,3.53 ,3.43 ,(0.02)
20230509,3.52 ,3.52 ,3.53 ,3.48 ,0.00 
20230508,3.51 ,3.45 ,3.52 ,3.42 ,0.02 
20230505,3.44 ,3.39 ,3.47 ,3.38 ,0.02 
20230504,3.38 ,3.40 ,3.41 ,3.30 ,0.00 
20230503,3.36 ,3.43 ,3.44 ,3.34 ,(0.02)
20230502,3.43 ,3.57 ,3.57 ,3.42 ,(0.04)
20230501,3.57 ,3.45 ,3.61 ,3.45 ,0.04 
20230428,3.43 ,3.52 ,3.55 ,3.42 ,(0.03)
20230427,3.53 ,3.44 ,3.54 ,3.43 ,0.02 
20230426,3.45 ,3.42 ,3.46 ,3.38 ,0.01 
20230425,3.40 ,3.48 ,3.49 ,3.38 ,(0.03)
20230424,3.50 ,3.57 ,3.57 ,3.49 ,(0.02)
20230421,3.57 ,3.53 ,3.58 ,3.50 ,0.01 
20230420,3.54 ,3.59 ,3.60 ,3.53 ,(0.02)
20230419,3.59 ,3.59 ,3.64 ,3.58 ,0.00 
20230418,3.58 ,3.60 ,3.61 ,3.55 ,(0.01)
20230417,3.61 ,3.53 ,3.61 ,3.51 ,0.03 
20230414,3.52 ,3.45 ,3.54 ,3.42 ,0.02 
20230413,3.45 ,3.39 ,3.46 ,3.37 ,0.01 
20230412,3.40 ,3.43 ,3.46 ,3.34 ,(0.01)
20230411,3.43 ,3.42 ,3.46 ,3.38 ,0.00 
20230410,3.42 ,3.37 ,3.44 ,3.35 ,0.00 
20230407,3.41 ,3.31 ,3.42 ,3.30 ,0.03 
20230406,3.30 ,3.31 ,3.31 ,3.25 ,(0.00)
20230405,3.31 ,3.35 ,3.37 ,3.27 ,(0.01)
20230404,3.34 ,3.42 ,3.49 ,3.34 ,(0.02)
20230403,3.42 ,3.52 ,3.55 ,3.40 ,(0.02)
20230331,3.47 ,3.55 ,3.59 ,3.47 ,(0.02)
20230330,3.55 ,3.57 ,3.60 ,3.53 ,(0.01)
20230329,3.57 ,3.57 ,3.61 ,3.53 ,(0.00)
20230328,3.57 ,3.53 ,3.58 ,3.50 ,0.01 
20230327,3.54 ,3.40 ,3.55 ,3.37 ,0.05 
20230324,3.37 ,3.42 ,3.43 ,3.29 ,(0.01)
20230323,3.41 ,3.45 ,3.52 ,3.37 ,(0.01)
20230322,3.45 ,3.61 ,3.64 ,3.43 ,(0.04)
20230321,3.61 ,3.50 ,3.61 ,3.44 ,0.04 
20230320,3.48 ,3.47 ,3.52 ,3.29 ,0.01 
20230317,3.44 ,3.57 ,3.60 ,3.38 ,(0.04)
20230316,3.58 ,3.45 ,3.59 ,3.37 ,0.03 
20230315,3.46 ,3.70 ,3.71 ,3.39 ,(0.06)
20230314,3.69 ,3.56 ,3.70 ,3.46 ,0.04 
20230313,3.55 ,3.75 ,3.76 ,3.42 ,(0.04)
20230310,3.70 ,3.90 ,3.90 ,3.67 ,(0.05)
20230309,3.91 ,3.98 ,4.02 ,3.89 ,(0.02)
20230308,3.99 ,3.98 ,4.01 ,3.90 ,0.01 
20230307,3.97 ,3.97 ,4.01 ,3.92 ,0.00 
20230306,3.96 ,3.97 ,3.99 ,3.90 ,0.00 
20230303,3.96 ,4.07 ,4.07 ,3.95 ,(0.03)
20230302,4.06 ,3.99 ,4.09 ,3.99 ,0.02 
20230301,3.99 ,3.94 ,4.01 ,3.91 ,0.02 
20230228,3.93 ,3.92 ,3.98 ,3.90 ,0.00 
20230227,3.92 ,3.93 ,3.98 ,3.90 ,(0.01)
20230224,3.95 ,3.89 ,3.98 ,3.85 ,0.01 
20230223,3.89 ,3.92 ,3.98 ,3.86 ,(0.01)
20230222,3.93 ,3.96 ,3.97 ,3.89 ,(0.01)
20230221,3.95 ,3.85 ,3.96 ,3.84 ,0.03 
20230220,3.85 ,3.85 ,3.85 ,3.85 ,0.01 
20230217,3.82 ,3.86 ,3.93 ,3.81 ,(0.01)
20230216,3.86 ,3.82 ,3.87 ,3.77 ,0.02 
20230215,3.80 ,3.75 ,3.82 ,3.73 ,0.01 
20230214,3.75 ,3.71 ,3.80 ,3.62 ,0.01 
20230213,3.70 ,3.74 ,3.76 ,3.70 ,(0.01)
20230210,3.74 ,3.68 ,3.75 ,3.66 ,0.02 
20230209,3.66 ,3.60 ,3.69 ,3.58 ,0.01 
20230208,3.62 ,3.67 ,3.69 ,3.61 ,(0.02)
20230207,3.68 ,3.64 ,3.69 ,3.60 ,0.01 
20230206,3.64 ,3.56 ,3.66 ,3.54 ,0.04 
20230203,3.52 ,3.39 ,3.56 ,3.37 ,0.03 
20230202,3.40 ,3.42 ,3.43 ,3.33 ,(0.00)
20230201,3.42 ,3.52 ,3.52 ,3.39 ,(0.03)
20230131,3.51 ,3.55 ,3.55 ,3.49 ,(0.01)
20230130,3.54 ,3.51 ,3.57 ,3.49 ,0.01 
